Title,Link,Snippet
DOH sees shortage of contraceptive pills,https://newsinfo.inquirer.net/1834624/doh-sees-shortage-of-contraceptive-pills,The DOH notified government hospitals and other public health facilities of an “imminent” shortage in combined oral contraceptive pills...
CHEd OK with integration of birth control use in curriculum,https://newsinfo.inquirer.net/1327879/ched-ok-with-integration-of-birth-control-use-in-curriculum,CHED has no problem with including birth control use in elder students' curriculum as long as integrated into an existing course or subject.
The Sodex bus: Mobile family planning clinic rolled out,https://newsinfo.inquirer.net/1938675/the-sodex-bus-mobile-family-planning-clinic-rolled-out,A mobile clinic was officially launched to reach areas where couples may need help to access contraceptives and birth control procedures.
"Giving out condoms promotes immorality, won't prevent AIDS",https://newsinfo.inquirer.net/850822/cbcp-giving-out-condoms-promotes-immorality-wont-prevent-hiv-aids,The Department of Health's initiative to distribute condoms in schools will only result in the spread of HIV-AIDS.
Gov't can't force public on birth control measure - SC,https://newsinfo.inquirer.net/593391/govt-cant-force-public-on-birth-control-measure-sc,"The government cannot force the public to follow its prescribed birth control measure to stop the country's swelling population, ..."
House panel OKs bills giving youths access to the pill,https://newsinfo.inquirer.net/1725171/house-panel-oks-bills-giving-youths-access-to-the-pill,Proposals to let younger people use contraceptives without the need for parental consent and under certain conditions are gaining ground at ...
Urban poor women welcome birth control victory,https://newsinfo.inquirer.net/593023/urban-poor-women-welcome-birth-control-victory,"President Benigno Aquino signed the law into effect in December 2012, aiming to make birth control devices more available to the public, while ..."
PhilHealth reminds members of free contraceptive services,https://newsinfo.inquirer.net/1739199/philhealth-reminds-beneficiaries-of-free-contraceptive-services,Members of the Philippine Health Insurance Corp. (PhilHealth) may avail of permanent contraceptive measures for free.
Male contraceptive pill found 99% effective in mice,https://newsinfo.inquirer.net/1573031/male-contraceptive-pill-found-99-effective-in-mice,A team of scientists said Wednesday they had developed a male oral contraceptive that was 99 percent effective in mice and didn't cause observable side effects.
"Duterte against abortion, but all for birth control",https://newsinfo.inquirer.net/879790/duterte-against-abortion-but-all-for-birth-control-even-for-students,"It would be better to provide even students with birth control aids, such as condoms and pills, to prevent unwanted pregnancies, President Rodrigo Duterte said ..."
'Contraception is corruption' | Inquirer News,https://newsinfo.inquirer.net/242667/bishop-soc-lambasts-aquino-says-contraception-is-corruption,"“A culture of contraception looks at babies as reasons for poverty. Birth control, they say, means more food, more classrooms, more houses ..."
High court TRO on contraceptives slowly killing women ...,https://newsinfo.inquirer.net/895027/high-court-tro-on-contraceptives-slowly-killing-women-says-doh-exec,"A Supreme Court order effectively blocking the entry of most birth control products in the market is “slowly killing” Filipino women, ..."
Popcom: Allow minors access to contraceptives,https://newsinfo.inquirer.net/1194506/popcom-allow-minors-access-to-contraceptives,Congress should restore a provision of the reproductive health law that allowed certain minors to access contraceptives even without parental consent.
"Duterte's condom joke 'irresponsible,' says Human Rights ...",https://newsinfo.inquirer.net/969504/dutertes-condom-joke-irresponsible-says-human-rights-watch,“Policies restricting access to condoms are a threat to public health. International law obligates states to ensure access to condoms and ...
"P1B for condoms, pills nixed",https://newsinfo.inquirer.net/753535/p1b-for-condoms-pills-nixed,Poor Filipino couples in need of artificial contraceptives will not be getting any at health centers this year after the P1-billion ...
Muntinlupa mayor: Contraceptive ordinance dead,https://newsinfo.inquirer.net/20145/muntinlupa-mayor-contraceptive-ordinance-dead-2,"“[The ordinance] is dead,” San Pedro told the Inquirer in a phone interview Thursday. “It will no longer be implemented. Well, in the first ..."
"There's enough for condoms, but...",https://newsinfo.inquirer.net/757366/theres-enough-for-condoms-but,The Department of Health (DOH) assured Filipino couples that it could cover their contraceptive needs for the entire year despite a budget ...
Supreme Court TRO stalling gov't family planning program ...,https://newsinfo.inquirer.net/789107/supreme-court-tro-stalling-govt-family-planning-program-doh,"Last year, the high court issued two restraining orders, barring the DOH from procuring, selling, dispensing and administering contraceptive ..."
Group joins call for lifting of ban on gov't-issued ...,https://newsinfo.inquirer.net/884859/group-joins-call-for-lifting-of-ban-on-govt-issued-contraceptives,Anti-RH groups originally asked the SC for a TRO on two contraceptive products. But the SC issued in June 2015 a TRO covering 77 contraceptive ...
World Contraception Day aims to debunk reproductive ...,https://newsinfo.inquirer.net/1672498/world-contraception-day-aims-to-debunk-reproductive-health-myths,World Contraception Day takes place yearly on September 26 to provide women with access to scientific and non-judgemental information about contraception ...
RH law takes effect; too late for mother of 22,https://newsinfo.inquirer.net/342453/rh-law-takes-effect-too-late-for-mother-of-22,"Under the law, government health centers will have to have a supply of contraceptives, unlike in the past when local mayors could be intimidated ..."
Priest says people now go to confession for using ...,https://newsinfo.inquirer.net/374699/priest-says-people-now-go-to-confession-for-using-contraceptives,"More and more young Catholics now know that using artificial contraceptives is a sin and are confessing it, a church official said Saturday."
Married Filipino women more likely to use contraceptives ...,https://newsinfo.inquirer.net/1791619/married-filipino-women-more-likely-to-use-contraceptives-than-single-ones,"Married Filipino women are almost twice as likely to use contraceptives than unmarried women, the Commission on Population and Development (Popcom) said."
Hontiveros slams Duterte for 'irresponsible' remarks on ...,https://newsinfo.inquirer.net/969115/hontiveros-slams-duterte-for-irresponsible-remarks-on-condoms,"Hontiveros chided Duterte for his statement, noting that disapproving condoms as a safe and reliable form of contraception “denies the ..."
No condoms in schools–DepEd,https://newsinfo.inquirer.net/867064/no-condoms-in-schools-deped,"On Monday, DepEd Secretary Leonor Briones finally made a decision that the DepEd will not be involved in the DOH condom distribution program."
Cordillera couples stay away from contraception,https://newsinfo.inquirer.net/248057/cordillera-couples-stay-away-from-contraception,Cerezo said government's task is to encourage couples to assimilate modern birth control methods which have been validated scientifically.
"DOH, FDA urged to review contraceptives procured sans ...",https://newsinfo.inquirer.net/815772/doh-fda-urged-to-review-contraceptives-procured-sans-public-hearing,The court said it was not stopping the FDA from its role as the primary arbiter of determining whether a contraceptive has abortifacient effects ...
"RH bill about population control, not health–Enrile",https://newsinfo.inquirer.net/57279/rh-bill-about-population-control-not-health%E2%80%93enrile,“I think the real purpose is to control the country's population through birth control that's why they (proponents) are advocating this in the ...
Choosing safe sex on Valentine's Day: Birth control myths ...,https://newsinfo.inquirer.net/1228563/choosing-safe-sex-on-valentines-day-birth-control-myths-busted,"A quick web search could bring up results on how to prevent pregnancies, from using modern contraceptives to trying traditional methods."
PopCom open to idea of men contraceptive injection,https://newsinfo.inquirer.net/1194238/popcom-open-to-idea-of-men-contraceptive-injection,The PopCom is open to the use of male birth control injection to help control unwanted pregnancies in the country.
"With limited access to birth control, Indonesia set to see a ...",https://newsinfo.inquirer.net/1274273/with-limited-access-to-birth-control-indonesia-set-to-see-a-covid-19-baby-boom,"The one-month decline in contraceptive use alone could push up pregnancies by 15 per cent, or around 420,000 pregnancies, within a month to ..."
Duterte ready to clash with Catholic Church on birth control,https://newsinfo.inquirer.net/792691/duterte-ready-to-clash-with-catholic-church-on-birth-control,The Philippine president-elect said Monday he would aggressively promote artificial birth control in the country even at the risk of getting ...
Judge temporarily blocks new Trump rules on birth control,https://newsinfo.inquirer.net/952893/judge-temporarily-blocks-new-trump-rules-on-birth-control,"The law required most companies to cover birth control at no additional cost, though it included exemptions for religious organizations."
"Sex in the time of COVID-19: Taguig City gives pills, ...",https://newsinfo.inquirer.net/1248796/sex-in-the-time-of-covid-19-taguig-city-gives-pills-condoms-to-residents,"In Taguig City, condoms and birth control pills were being distributed to communities to ensure that family planning continues amid the Luzon-wide lockdown."
SC puts gov't-procured contraceptive implants on hold,https://newsinfo.inquirer.net/815108/sc-puts-govt-procured-contraceptive-implants-on-hold,"The SC ruling issued on Aug. 24 means the 400,000 subdermal contraceptive implants—including Implanon and Implanon NXT, supposedly the most ..."
P1B for free contraceptives of poor couples removed from ...,https://newsinfo.inquirer.net/753260/p1b-for-free-contraceptives-of-poor-couples-removed-from-2016-budget-doh,Poor Filipino couples in need of artificial contraceptives will not be getting any in health centers this year after the Senate allegedly ...
"Duterte drops same-sex marriage, backs birth control",https://newsinfo.inquirer.net/882677/duterte-drops-same-sex-marriage-backs-birth-control,"“The Philippines is overloaded with people. Me, I am really embarking on aggressive birth control,” Duterte said. “It really is too much. I am ..."
Duterte wants RH law fully implemented,https://newsinfo.inquirer.net/918566/duterte-wants-rh-law-fully-implemented,"President Duterte wants the full implementation of the reproductive health law, and the Supreme Court's temporary restraining order (TRO) ..."
Only 1 out of 10 sexually active Filipinos uses protection ...,https://newsinfo.inquirer.net/1170642/only-1-out-of-10-sexually-active-filipinos-uses-protection-survey,"Contraceptive use was lowest among those age 41 to 50. Only 10.71 percent used protection against STDs, while 7.09 percent, against unwanted ..."
SC: RH law constitutional,https://newsinfo.inquirer.net/592699/sc-waters-down-rh-law,"The law requires government health centers to hand out free condoms and birth control pills, as well as mandating that sex education be ..."
UN: RH law vital to development,https://newsinfo.inquirer.net/243039/un-weighs-in-on-ph-birth-control-dispute,"Besides free contraception, the bill seeks to give the poor ... condoms has led to an explosion of HIV infections in the Philippines ..."
Report on scrapping of UN birth control aid just ...,https://newsinfo.inquirer.net/52007/report-on-scrapping-of-un-birth-control-aid-just-propaganda-says-cardinal,A retired cardinal said Friday the report about the United Nations scrapping its birth control program in the Philippines may just be ...
Atienza opposes condoms in schools,https://newsinfo.inquirer.net/850364/atienza-opposes-condoms-in-schools,"“If you reserve everything for your marriage, then AIDS will be gone,” he said. “Let us fight this with self-control, with the education sector ..."
PhilHealth offers alternate family planning package,https://newsinfo.inquirer.net/756248/philhealth-offers-alternate-family-planning-package,The DOH earlier planned to make the birth control implants available in health centers but the Supreme Court issued a temporary restraining ...
"When Zika hits, a push for birth control and abortion?",https://newsinfo.inquirer.net/785224/when-zika-hits-a-push-for-birth-control-and-abortion,"There's little doubt: Zika is coming to the continental United States, bringing frightening birth defects — and, most likely, newly urgent ..."
"Bishop slams agencies distributing condoms, pills to ...",https://newsinfo.inquirer.net/602286/bishop-slams-agencies-distributing-condoms-pills-to-women-in-yolanda-hit-areas,... some foreign aid organizations for giving out contraceptives such as condoms and birth control pills to victims in Eastern Samar.
Lagman: Women will still have final say on contraceptive use,https://newsinfo.inquirer.net/464833/lagman-women-will-still-have-final-say-on-contraceptive-use,"“No one is being compelled to use IUDs (intrauterine devices), condom . . . [it is the option] of a woman , or couple whether to use or not ..."
US Catholics file suits over birth control requirement,https://newsinfo.inquirer.net/198169/us-catholics-file-suits-over-birth-control-requirement,"Forty-three Catholic dioceses, universities and other organizations have filed 12 suits across several US states challenging a federal ..."
Natural family planning,https://newsinfo.inquirer.net/30379/natural-family-planning,... birth control methods and devices that the Philippine Government ... DOJ defers 60-day Pogo exit deadline set by BI. According to the article: The ...
"New compound immobilizes sperm for hours, research ...",https://newsinfo.inquirer.net/1733599/new-compound-immobilizes-sperm-for-hours-research-shows,Condoms or abstinence are the only other options for male contraception ... contraceptive pill found 99% effective in mice · Male Birth ...
Lagman: When life begins irrelevant,https://newsinfo.inquirer.net/10109/lagman-when-life-begins-irrelevant,He said in an interview the same held true for other mechanisms of birth control such as condoms and intrauterine devices (IUDs) which prevent a ...
"Vatican polls parishes on marriage, birth control",https://newsinfo.inquirer.net/518507/vatican-polls-parishes-on-marriage-birth-control,"The Vatican is taking the unusual step of conducting a worldwide survey on how parishes deal with sensitive issues such as birth control, ..."
US court blocks contraception clause in health care law,https://newsinfo.inquirer.net/556199/us-court-blocks-contraception-clause-in-health-care-law,... the new health care reform law that requires some religion-affiliated organizations to provide insurance that includes birth control.
Lea leads protest vs village ordinance,https://newsinfo.inquirer.net/2675/lea-leads-protest-vs-village-ordinance,"Under Barangay Ordinance No. 1, also known as the “Protection of the Unborn Child Ordinance of 2011,” a person who wants to buy contraceptives ..."
Angeles City readies condoms for Apec meeting,https://newsinfo.inquirer.net/665826/angeles-city-readies-condoms-for-apec-meeting,... contraception either to control birth rates or prevent sexually transmitted diseases. Church leaders even assailed the passage of the RH Law ...
Palace draws line on scrapping pills,https://newsinfo.inquirer.net/266676/palace-draws-line-on-scrapping-pills,"... contraceptives such as pills and condom, officials said on Saturday ... birth control devices in the list of essential drugs, Cayetano ..."
