Provinces,Cities
Abra,Alaminos
Agusan del Norte,Angeles
Agusan del Sur,Antipolo
Aklan,Bacolod
Albay,Bacoor
Angeles City,Bago
Antique,Baguio
Apayao,Bais
Aurora,Balanga
Bacolod,Batac
Baguio,Batangas City
Basilan,Bayawan
Bataan,Baybay
Batanes,Bayugan
Batangas,Biñan
Benguet,Bislig
Biliran,Bogo
Bohol,Borongan
Bukidnon,Butuan
Bulacan,Cabadbaran
Butuan,Cabanatuan
Cagayan,Cabuyao
Cagayan de Oro,Cadiz
Caloocan,Cagayan de Oro
Camarines Norte,Calamba
Camarines Sur,Calapan
Camiguin,Calbayog
Capiz,Caloocan
Catanduanes,Candon
Cavite,Canlaon
Cebu,Carcar
Cebu City,Catbalogan
Cotabato,Cauayan
Cotabato City,Cavite City
Dagupan,Cebu City
Davao City,Cotabato City
Davao de Oro,Dagupan
Davao del Norte,Danao
Davao del Sur,Dapitan
Davao Occidental,Dasmariñas
Davao Oriental,Davao City
Dinagat Islands,Digos
Eastern Samar,Dipolog
General Santos,Dumaguete
Guimaras,El Salvador
Ifugao,Escalante
Iligan,Gapan
Ilocos Norte,General Santos
Ilocos Sur,General Trias
Iloilo,Gingoog
Iloilo City,Guihulngan
Isabela,Himamaylan
Kalinga,Ilagan
La Union,Iligan
Laguna,Iloilo City
Lanao del Norte,Imus
Lanao del Sur,Iriga
Lapu-Lapu,Isabela
Las Piñas,Kabankalan
Leyte,Kidapawan
Lucena,Koronadal
Maguindanao del Norte,La Carlota
Maguindanao del Sur,Lamitan
Makati,Laoag
Malabon,Lapu-Lapu
Mandaluyong,Las Piñas
Mandaue,Legazpi
Manila,Ligao
Marikina,Lipa
Marinduque,Lucena
Masbate,Maasin
Misamis Occidental,Mabalacat
Misamis Oriental,Makati
Mountain Province,Malabon
Muntinlupa,Malaybalay
Naga,Malolos
Navotas,Mandaluyong
Negros Occidental,Mandaue
Negros Oriental,Manila
Northern Samar,Marawi
Nueva Ecija,Marikina
Nueva Vizcaya,Masbate City
Occidental Mindoro,Mati
Olongapo,Meycauayan
Oriental Mindoro,Muñoz
Ormoc,Muntinlupa
Palawan,"Naga (Luzon, Camarines Sur)"
Pampanga,"Naga (Cebu, Cebu)"
Pangasinan,Navotas
Parañaque,Olongapo
Pasay,Ormoc
Pasig,Oroquieta
Pateros,Ozamiz
Puerto Princesa,Pagadian
Quezon,Palayan
Quezon City,Panabo
Quirino,Parañaque
Rizal,Pasay
Romblon,Pasig
Samar,Passi
San Juan,Puerto Princesa
Santiago,Quezon City
Sarangani,Roxas
Siquijor,Sagay
Sorsogon,Samal
South Cotabato,San Carlos (Negros Island)
Southern Leyte,"San Carlos (Luzon, Pangasinan)"
Sultan Kudarat,San Fernando (La Union)
Sulu,San Fernando (Pampanga)
Surigao del Norte,San Jose
Surigao del Sur,San Jose del Monte
Tacloban,San Juan
Taguig,San Pablo
Tarlac,San Pedro
Tawi-Tawi,Santa Rosa
Valenzuela,Santiago
Zambales,Silay
Zamboanga City,Sipalay
Zamboanga del Norte,Sorsogon City
Zamboanga del Sur,Surigao City
Zamboanga Sibugay,Tabaco
,Tabuk
,Tacloban
,Tacurong
,Tagaytay
,Tagbilaran
,Taguig
,Tagum
,Talisay (Cebu)
,Talisay (Negros Island)
,Tanauan
,Tandag
,Tangub
,Tanjay
,Tarlac City
,Tayabas
,Toledo
,Trece Martires
,Tuguegarao
,Urdaneta
,Valencia
,Valenzuela
,Victorias
,Vigan
,Zamboanga City
